matrix,priority,characterId,character,characterSlug,pose,family,variant,device,configuration,clothing,equipmentPreset,affect,phase,status,targetAsset,targetFile,exactLegacyAsset,legacyCandidate,optional
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress_stockings","none","receptive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress_stockings__none__receptive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress_stockings__none__receptive.png","/character-images/rendered/mira/standing__dress_stockings__none__receptive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress_stockings","none","guarded","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress_stockings__none__guarded.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress_stockings__none__guarded.png","/character-images/rendered/mira/standing__dress_stockings__none__guarded.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress_stockings","none","high_positive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress_stockings__none__high_positive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress_stockings__none__high_positive.png","/character-images/rendered/mira/standing__dress_stockings__none__high_positive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress_stockings","none","high_negative","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress_stockings__none__high_negative.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress_stockings__none__high_negative.png","/character-images/rendered/mira/standing__dress_stockings__none__high_negative.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress_stockings","none","subspace","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress_stockings__none__subspace.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress_stockings__none__subspace.png","/character-images/rendered/mira/standing__dress_stockings__none__subspace.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress_stockings","none","climax","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress_stockings__none__climax.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress_stockings__none__climax.png","/character-images/rendered/mira/standing__dress_stockings__none__climax.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress_stockings","none","unconscious","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress_stockings__none__unconscious.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress_stockings__none__unconscious.png","/character-images/rendered/mira/standing__dress_stockings__none__unconscious.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","jumpsuit","none","neutral","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/jumpsuit__none__neutral.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/jumpsuit__none__neutral.png","/character-images/rendered/mira/standing__jumpsuit__none__neutral.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","jumpsuit","none","receptive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/jumpsuit__none__receptive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/jumpsuit__none__receptive.png","/character-images/rendered/mira/standing__jumpsuit__none__receptive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","jumpsuit","none","guarded","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/jumpsuit__none__guarded.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/jumpsuit__none__guarded.png","/character-images/rendered/mira/standing__jumpsuit__none__guarded.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","jumpsuit","none","high_positive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/jumpsuit__none__high_positive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/jumpsuit__none__high_positive.png","/character-images/rendered/mira/standing__jumpsuit__none__high_positive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","jumpsuit","none","high_negative","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/jumpsuit__none__high_negative.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/jumpsuit__none__high_negative.png","/character-images/rendered/mira/standing__jumpsuit__none__high_negative.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","jumpsuit","none","subspace","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/jumpsuit__none__subspace.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/jumpsuit__none__subspace.png","/character-images/rendered/mira/standing__jumpsuit__none__subspace.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","jumpsuit","none","climax","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/jumpsuit__none__climax.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/jumpsuit__none__climax.png","/character-images/rendered/mira/standing__jumpsuit__none__climax.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","jumpsuit","none","unconscious","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/jumpsuit__none__unconscious.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/jumpsuit__none__unconscious.png","/character-images/rendered/mira/standing__jumpsuit__none__unconscious.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","lab_gown","none","neutral","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/lab_gown__none__neutral.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/lab_gown__none__neutral.png","/character-images/rendered/mira/standing__lab_gown__none__neutral.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","lab_gown","none","receptive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/lab_gown__none__receptive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/lab_gown__none__receptive.png","/character-images/rendered/mira/standing__lab_gown__none__receptive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","lab_gown","none","guarded","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/lab_gown__none__guarded.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/lab_gown__none__guarded.png","/character-images/rendered/mira/standing__lab_gown__none__guarded.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","lab_gown","none","high_positive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/lab_gown__none__high_positive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/lab_gown__none__high_positive.png","/character-images/rendered/mira/standing__lab_gown__none__high_positive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","lab_gown","none","high_negative","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/lab_gown__none__high_negative.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/lab_gown__none__high_negative.png","/character-images/rendered/mira/standing__lab_gown__none__high_negative.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","lab_gown","none","subspace","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/lab_gown__none__subspace.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/lab_gown__none__subspace.png","/character-images/rendered/mira/standing__lab_gown__none__subspace.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","lab_gown","none","climax","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/lab_gown__none__climax.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/lab_gown__none__climax.png","/character-images/rendered/mira/standing__lab_gown__none__climax.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","lab_gown","none","unconscious","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/lab_gown__none__unconscious.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/lab_gown__none__unconscious.png","/character-images/rendered/mira/standing__lab_gown__none__unconscious.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","calibration_set","none","neutral","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/calibration_set__none__neutral.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/calibration_set__none__neutral.png","/character-images/rendered/mira/standing__calibration_set__none__neutral.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","calibration_set","none","receptive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/calibration_set__none__receptive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/calibration_set__none__receptive.png","/character-images/rendered/mira/standing__calibration_set__none__receptive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","calibration_set","none","guarded","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/calibration_set__none__guarded.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/calibration_set__none__guarded.png","/character-images/rendered/mira/standing__calibration_set__none__guarded.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","calibration_set","none","high_positive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/calibration_set__none__high_positive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/calibration_set__none__high_positive.png","/character-images/rendered/mira/standing__calibration_set__none__high_positive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","calibration_set","none","high_negative","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/calibration_set__none__high_negative.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/calibration_set__none__high_negative.png","/character-images/rendered/mira/standing__calibration_set__none__high_negative.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","calibration_set","none","subspace","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/calibration_set__none__subspace.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/calibration_set__none__subspace.png","/character-images/rendered/mira/standing__calibration_set__none__subspace.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","calibration_set","none","climax","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/calibration_set__none__climax.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/calibration_set__none__climax.png","/character-images/rendered/mira/standing__calibration_set__none__climax.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","calibration_set","none","unconscious","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/calibration_set__none__unconscious.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/calibration_set__none__unconscious.png","/character-images/rendered/mira/standing__calibration_set__none__unconscious.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","nude","none","neutral","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/nude__none__neutral.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/nude__none__neutral.png","/character-images/rendered/mira/sitting__nude__none__neutral.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","nude","none","receptive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/nude__none__receptive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/nude__none__receptive.png","/character-images/rendered/mira/sitting__nude__none__receptive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","nude","none","guarded","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/nude__none__guarded.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/nude__none__guarded.png","/character-images/rendered/mira/sitting__nude__none__guarded.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","nude","none","high_positive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/nude__none__high_positive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/nude__none__high_positive.png","/character-images/rendered/mira/sitting__nude__none__high_positive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","nude","none","high_negative","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/nude__none__high_negative.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/nude__none__high_negative.png","/character-images/rendered/mira/sitting__nude__none__high_negative.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","nude","none","subspace","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/nude__none__subspace.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/nude__none__subspace.png","/character-images/rendered/mira/sitting__nude__none__subspace.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","nude","none","climax","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/nude__none__climax.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/nude__none__climax.png","/character-images/rendered/mira/sitting__nude__none__climax.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","nude","none","unconscious","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/nude__none__unconscious.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/nude__none__unconscious.png","/character-images/rendered/mira/sitting__nude__none__unconscious.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","underwear","none","neutral","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/underwear__none__neutral.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/underwear__none__neutral.png","/character-images/rendered/mira/sitting__underwear__none__neutral.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","underwear","none","receptive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/underwear__none__receptive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/underwear__none__receptive.png","/character-images/rendered/mira/sitting__underwear__none__receptive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","underwear","none","guarded","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/underwear__none__guarded.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/underwear__none__guarded.png","/character-images/rendered/mira/sitting__underwear__none__guarded.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","underwear","none","high_positive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/underwear__none__high_positive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/underwear__none__high_positive.png","/character-images/rendered/mira/sitting__underwear__none__high_positive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","underwear","none","high_negative","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/underwear__none__high_negative.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/underwear__none__high_negative.png","/character-images/rendered/mira/sitting__underwear__none__high_negative.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","underwear","none","subspace","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/underwear__none__subspace.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/underwear__none__subspace.png","/character-images/rendered/mira/sitting__underwear__none__subspace.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","underwear","none","climax","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/underwear__none__climax.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/underwear__none__climax.png","/character-images/rendered/mira/sitting__underwear__none__climax.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","underwear","none","unconscious","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/underwear__none__unconscious.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/underwear__none__unconscious.png","/character-images/rendered/mira/sitting__underwear__none__unconscious.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","dress","none","neutral","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/dress__none__neutral.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/dress__none__neutral.png","/character-images/rendered/mira/sitting__dress__none__neutral.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","dress","none","receptive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/dress__none__receptive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/dress__none__receptive.png","/character-images/rendered/mira/sitting__dress__none__receptive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","sitting","","","","","dress","none","guarded","","covered_by_exact_legacy","/character-images/calibration-v4/mira/sitting/dress__none__guarded.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/sitting/dress__none__guarded.png","/character-images/rendered/mira/sitting__dress__none__guarded.png","",""
